"","plasma.cell.vec.final"
"DRG1.2517.30.2",0.116600384106252
"HSP90a.2625.53.1",0.0720007042756275
"HSP90b.2626.3.2",0.0595530286777065
"PAFAH.beta.subunit.2642.4.1",0.0582015359572523
"PKC.A.2644.11.2",0.144721225425185
"Rab.GDP.dissociation.inhibitor.beta.2647.66.2",0.081537883172969
"Calpain.I.2668.70.2",0.0661746728847285
"HSP60.2682.68.1",0.133998952135514
"ERK1.2855.49.1",0.146562817872416
"RAC1.2870.29.1",0.149180169880109
"UBC9.2877.3.1",0.133300376432076
"Cytochrome.P450.3A4.2943.5.1",0.0814516854461444
"Gro.g.2986.49.2",0.095655158689571
"MK01.3115.64.2",0.126807806292344
"AMPM2.3170.6.1",0.116117985371782
"GPVI.3194.36.1",0.133608700115724
"IDE.3197.70.2",0.0701216776233404
"METAP1.3210.1.1",0.177253010144702
"GSK3.beta.3236.12.1",0.104565547574946
"BARK1.3347.9.1",0.176111848505997
"CSK.3363.31.1",0.200289461596549
"LYNB.3381.24.1",0.172533199161022
"PIK3CA.PIK3R1.3390.72.1",0.060014186936784
"PKB.gamma.3392.68.2",0.145672766980999
"UFC1.3405.6.1",0.0796780651778201
"BTK.3416.2.1",0.232963617685337
"CAMK2D.3419.49.1",0.112604720520588
"Carbonic.anhydrase.XIII.3420.21.1",0.0630241143661026
"GSK3.alpha.3441.64.1",0.123320185374904
"LYN.3453.87.1",0.185682332818518
"PRKACA.3466.8.2",0.126452975109258
"RPS6KA3.3469.74.1",0.122633569172765
"Caspase3.3593.72.1",0.135569137315084
"MK12.3626.29.1",0.0513893966192789
"SLAF5.3642.4.1",0.0687442245978386
"FYN.3813.3.1",0.101630352037132
"MAPK2.3820.68.1",0.105026400582731
"MAPKAPK3.3822.54.1",0.143636083934528
"PAK6.3827.22.1",0.138753860112779
"UFM1.3836.51.1",0.117061418240170
"Cyclophilin.A.3844.2.1",0.147042839878687
"DLRB1.3845.51.1",0.062950638660223
"MDHC.3853.56.1",0.100060125543139
"NACA.3854.24.1",0.0709974935554417
"Peroxiredoxin1.3855.56.1",0.0563070197974918
"TCTP.3872.2.1",0.143739988632511
"IMB1.3887.90.1",0.123887147622989
"LDH.H1.3890.8.1",0.0839912907024146
"NAGK.3894.15.1",0.0623017157985553
"Phosphoglycerate.mutase1.3896.5.1",0.140434259516840
"Sorting.nexin4.3903.49.1",0.0791900393999189
"UBE2N.3905.62.1",0.126148161082891
"HSP70.4124.24.1",0.0948004128186314
"P.Selectin.4154.57.1",0.058573056205229
